Month,CMake,GNU Make,Bazel,Meson,SCons
2021-08,64,2,13,1,3
2021-09,69,3,14,1,3
2021-10,67,2,13,2,2
2021-11,70,2,14,2,3
2021-12,68,2,14,2,2
2022-01,77,3,15,2,3
2022-02,92,4,17,2,3
2022-03,100,3,19,3,3
2022-04,98,4,21,2,3
2022-05,84,3,21,2,3
2022-06,83,4,21,3,3
2022-07,74,3,20,2,3
2022-08,81,3,22,2,3
2022-09,82,3,20,2,3
2022-10,74,3,19,2,3
2022-11,84,3,22,2,3
2022-12,75,3,19,2,3
2023-01,74,3,21,2,3
2023-02,89,4,21,2,3
2023-03,92,4,24,2,3
2023-04,79,3,20,2,3
2023-05,73,3,20,2,3
2023-06,73,2,20,2,3
